index,sell,buy,open,profit,pos_prof,time,pos
6,1,0,8226.9,0.0,0.0,20180730031500,1
11,0,1,8165.1,59.79999999999927,59.79999999999927,20180730043000,1
21,0,1,8142.8,0.0,0.0,20180730070000,0
22,0,1,8128.8,0.0,0.0,20180730071500,0
27,0,1,8174.9,0.0,0.0,20180730083000,0
53,1,0,8181.36,74.05999999999858,14.259999999999309,20180730150000,1
56,0,1,8150.1,103.31999999999789,29.25999999999931,20180730154500,1
57,1,0,8130.64,81.85999999999785,-21.460000000000036,20180730160000,1
58,0,1,8102.5,107.99999999999818,26.140000000000327,20180730161500,1
62,0,1,8100.3,0.0,0.0,20180730171500,0
64,0,1,7989.6,0.0,0.0,20180730174500,0
65,0,1,7915.1,0.0,0.0,20180730180000,0
66,1,0,7924.0,-72.50000000000182,-180.5,20180730181500,1
67,0,1,7933.6,-84.10000000000218,-11.600000000000364,20180730183000,1
69,1,0,7960.0,-59.70000000000255,24.399999999999636,20180730190000,1
70,1,0,8002.4,0.0,0.0,20180730191500,0
71,1,0,8056.8,0.0,0.0,20180730193000,0
72,1,0,8098.1,0.0,0.0,20180730194500,0
73,1,0,8120.3,0.0,0.0,20180730200000,0
74,0,1,8103.7,-205.40000000000236,-145.69999999999982,20180730201500,1
75,1,0,8184.4,-126.70000000000255,78.69999999999982,20180730203000,1
76,0,1,8140.0,-84.30000000000291,42.399999999999636,20180730204500,1
77,1,0,8164.5,-61.80000000000291,22.5,20180730210000,1
78,1,0,8135.1,0.0,0.0,20180730211500,0
79,1,0,8122.7,0.0,0.0,20180730213000,0
80,1,0,8130.4,0.0,0.0,20180730214500,0
81,1,0,8135.1,0.0,0.0,20180730220000,0
82,1,0,8155.7,0.0,0.0,20180730221500,0
83,1,0,8183.2,0.0,0.0,20180730223000,0
86,1,0,8171.1,0.0,0.0,20180730231500,0
87,1,0,8175.0,0.0,0.0,20180730233000,0
107,0,1,8093.6,7.099999999996726,68.89999999999964,20180731043000,1
125,0,1,8034.1,0.0,0.0,20180731090000,0
126,0,1,8041.0,0.0,0.0,20180731091500,0
127,0,1,8026.3,0.0,0.0,20180731093000,0
128,1,0,8055.4,-33.100000000004,-40.20000000000073,20180731094500,1
129,0,1,8013.7,6.599999999995816,39.69999999999982,20180731100000,1
130,0,1,8010.0,0.0,0.0,20180731101500,0
131,0,1,7970.1,0.0,0.0,20180731103000,0
