index,sell,buy,open,profit,pos_prof,time,pos
6,1,0,8226.9,0.0,0.0,20180730031500,1
9,0,1,8192.2,32.69999999999891,32.69999999999891,20180730040000,1
21,0,1,8142.8,0.0,0.0,20180730070000,0
22,0,1,8128.8,0.0,0.0,20180730071500,0
25,1,0,8165.0,3.499999999998181,-29.200000000000728,20180730080000,1
27,1,0,8174.9,0.0,0.0,20180730083000,0
40,0,1,8134.4,32.099999999998545,28.600000000000364,20180730114500,1
43,0,1,8151.5,0.0,0.0,20180730123000,0
44,0,1,8132.3,0.0,0.0,20180730124500,0
48,0,1,8119.9,0.0,0.0,20180730134500,0
53,0,1,8181.36,0.0,0.0,20180730150000,0
55,0,1,8169.8,0.0,0.0,20180730153100,0
56,0,1,8150.1,0.0,0.0,20180730154500,0
57,0,1,8130.64,0.0,0.0,20180730160000,0
58,0,1,8102.5,0.0,0.0,20180730161500,0
59,0,1,8110.4,0.0,0.0,20180730163000,0
62,0,1,8100.3,0.0,0.0,20180730171500,0
63,1,0,8099.8,-4.5000000000009095,-36.599999999999454,20180730173000,1
64,1,0,7989.6,0.0,0.0,20180730174500,0
65,0,1,7915.1,178.1999999999989,182.69999999999982,20180730180000,1
66,0,1,7924.0,0.0,0.0,20180730181500,0
67,0,1,7933.6,0.0,0.0,20180730183000,0
68,0,1,7955.0,0.0,0.0,20180730184500,0
69,1,0,7960.0,221.09999999999854,42.899999999999636,20180730190000,1
70,1,0,8002.4,0.0,0.0,20180730191500,0
71,0,1,8056.8,122.29999999999836,-98.80000000000018,20180730193000,1
72,1,0,8098.1,161.59999999999854,39.30000000000018,20180730194500,1
73,1,0,8120.3,0.0,0.0,20180730200000,0
74,0,1,8103.7,153.9999999999991,-7.599999999999454,20180730201500,1
75,1,0,8184.4,232.6999999999989,78.69999999999982,20180730203000,1
76,0,1,8140.0,275.09999999999854,42.399999999999636,20180730204500,1
77,1,0,8164.5,297.59999999999854,22.5,20180730210000,1
78,1,0,8135.1,0.0,0.0,20180730211500,0
79,0,1,8122.7,337.3999999999987,39.80000000000018,20180730213000,1
80,0,1,8130.4,0.0,0.0,20180730214500,0
81,1,0,8135.1,347.7999999999993,10.400000000000546,20180730220000,1
82,1,0,8155.7,0.0,0.0,20180730221500,0
83,0,1,8183.2,297.6999999999998,-50.099999999999454,20180730223000,1
84,1,0,8178.4,290.89999999999964,-6.800000000000182,20180730224500,1
85,0,1,8167.1,300.1999999999989,9.299999999999272,20180730230000,1
86,1,0,8171.1,302.1999999999989,2.0,20180730231500,1
92,0,1,8139.0,332.2999999999993,30.100000000000364,20180731004500,1
94,0,1,8121.1,0.0,0.0,20180731011500,0
97,0,1,8126.0,0.0,0.0,20180731020000,0
107,0,1,8093.6,0.0,0.0,20180731043000,0
124,0,1,8106.0,0.0,0.0,20180731084500,0
125,0,1,8034.1,0.0,0.0,20180731090000,0
126,0,1,8041.0,0.0,0.0,20180731091500,0
127,0,1,8026.3,0.0,0.0,20180731093000,0
128,1,0,8055.4,246.6999999999989,-85.60000000000036,20180731094500,1
129,0,1,8013.7,286.3999999999987,39.69999999999982,20180731100000,1
130,0,1,8010.0,0.0,0.0,20180731101500,0
131,0,1,7970.1,0.0,0.0,20180731103000,0
132,0,1,7981.7,0.0,0.0,20180731104500,0
133,0,1,7958.8,0.0,0.0,20180731110000,0
134,0,1,7959.5,0.0,0.0,20180731111500,0
135,1,0,7964.0,234.6999999999989,-51.69999999999982,20180731113000,1
136,1,0,7996.0,0.0,0.0,20180731114500,0
138,0,1,7950.0,246.6999999999989,12.0,20180731121500,1
139,1,0,7875.2,169.89999999999873,-76.80000000000018,20180731123000,1
140,0,1,7813.4,229.6999999999989,59.80000000000018,20180731124500,1
141,0,1,7805.05,0.0,0.0,20180731130000,0
142,1,0,7824.9,239.1999999999989,9.5,20180731131500,1
143,0,1,7819.9,242.1999999999989,3.0,20180731133000,1
144,1,0,7826.5,246.79999999999927,4.600000000000364,20180731134500,1
145,0,1,7735.7,335.59999999999945,88.80000000000018,20180731140000,1
146,0,1,7783.1,0.0,0.0,20180731141500,0
147,0,1,7733.7,0.0,0.0,20180731143000,0
148,0,1,7729.1,0.0,0.0,20180731144500,0
149,1,0,7731.1,329.0,-6.599999999999454,20180731150000,1
150,0,1,7695.51,362.59000000000015,33.590000000000146,20180731151500,1
151,0,1,7714.4,0.0,0.0,20180731153000,0
152,1,0,7739.4,404.47999999999956,41.88999999999942,20180731154500,1
153,1,0,7754.5,0.0,0.0,20180731160000,0
154,0,1,7744.75,397.1299999999992,-7.350000000000364,20180731161500,1
155,1,0,7760.2,410.579999999999,13.449999999999818,20180731163000,1
156,1,0,7780.8,0.0,0.0,20180731164500,0
158,0,1,7755.1,413.6799999999985,3.0999999999994543,20180731171500,1
159,0,1,7734.0,0.0,0.0,20180731173000,0
160,1,0,7744.1,400.6799999999985,-13.0,20180731174500,1
161,1,0,7730.0,0.0,0.0,20180731180000,0
162,0,1,7714.1,428.6799999999985,28.0,20180731181500,1
163,0,1,7722.63,0.0,0.0,20180731183000,0
165,1,0,7749.3,461.8799999999983,33.19999999999982,20180731190000,1
167,0,1,7733.7,475.47999999999865,13.600000000000364,20180731193000,1
170,0,1,7724.0,0.0,0.0,20180731201500,0
171,0,1,7721.2,0.0,0.0,20180731203000,0
172,1,0,7725.0,464.77999999999884,-10.699999999999818,20180731204500,1
174,0,1,7696.1,491.6799999999985,26.899999999999636,20180731211500,1
177,0,1,7716.5,0.0,0.0,20180731220000,0
179,1,0,7694.1,487.6799999999985,-4.0,20180731223000,1
183,0,1,7670.0,509.77999999999884,22.100000000000364,20180731233000,1
184,0,1,7757.6,0.0,0.0,20180731234500,0
185,0,1,7737.9,0.0,0.0,20180801000000,0
186,0,1,7726.6,0.0,0.0,20180801001500,0
187,1,0,7744.3,582.079999999999,72.30000000000018,20180801003000,1
188,0,1,7712.1,612.2799999999988,30.199999999999818,20180801004500,1
189,0,1,7675.9,0.0,0.0,20180801010000,0
190,0,1,7649.1,0.0,0.0,20180801011500,0
191,1,0,7665.3,563.4799999999987,-48.80000000000018,20180801013000,1
192,0,1,7611.5,615.2799999999988,51.80000000000018,20180801014500,1
193,0,1,7567.0,0.0,0.0,20180801020000,0
194,0,1,7540.0,0.0,0.0,20180801021500,0
195,1,0,7561.7,563.4799999999987,-51.80000000000018,20180801023000,1
196,0,1,7541.7,581.4799999999987,18.0,20180801024500,1
197,1,0,7551.57,589.3499999999985,7.869999999999891,20180801030000,1
198,0,1,7532.0,606.9199999999983,17.56999999999971,20180801031500,1
199,0,1,7540.1,0.0,0.0,20180801033000,0
201,0,1,7550.2,0.0,0.0,20180801040000,0
205,0,1,7541.5,0.0,0.0,20180801050000,0
208,0,1,7496.0,0.0,0.0,20180801054500,0
209,1,0,7539.1,612.0199999999986,5.100000000000364,20180801060000,1
210,1,0,7532.0,0.0,0.0,20180801061500,0
211,1,0,7549.6,0.0,0.0,20180801063000,0
212,1,0,7575.5,0.0,0.0,20180801064500,0
213,1,0,7583.0,0.0,0.0,20180801070000,0
215,0,1,7561.9,587.2199999999993,-24.799999999999272,20180801073000,1
216,1,0,7541.2,564.5199999999995,-22.699999999999818,20180801074500,1
217,1,0,7565.0,0.0,0.0,20180801080000,0
218,1,0,7584.3,0.0,0.0,20180801081500,0
219,1,0,7609.13,0.0,0.0,20180801083000,0
220,1,0,7637.8,0.0,0.0,20180801084500,0
221,1,0,7632.0,0.0,0.0,20180801090000,0
222,0,1,7618.1,485.619999999999,-78.90000000000055,20180801091500,1
223,0,1,7609.3,0.0,0.0,20180801093000,0
224,1,0,7627.27,492.78999999999905,7.170000000000073,20180801094500,1
225,0,1,7599.0,519.0599999999995,26.270000000000437,20180801100000,1
226,0,1,7553.5,0.0,0.0,20180801101500,0
227,0,1,7549.9,0.0,0.0,20180801103000,0
228,1,0,7564.98,483.03999999999905,-36.02000000000044,20180801104500,1
230,0,1,7565.4,480.619999999999,-2.4200000000000728,20180801111500,1
231,0,1,7541.2,0.0,0.0,20180801113000,0
232,0,1,7552.0,0.0,0.0,20180801114500,0
234,1,0,7578.1,491.3199999999997,10.700000000000728,20180801121500,1
238,1,0,7601.8,0.0,0.0,20180801131500,0
239,1,0,7614.9,0.0,0.0,20180801133000,0
241,1,0,7630.9,0.0,0.0,20180801140000,0
247,0,1,7613.9,453.52000000000044,-37.79999999999927,20180801153000,1
250,0,1,7609.0,0.0,0.0,20180801161500,0
252,0,1,7551.0,0.0,0.0,20180801164500,0
253,1,0,7564.0,401.6200000000008,-51.899999999999636,20180801170000,1
254,0,1,7562.1,401.52000000000044,-0.1000000000003638,20180801171500,1
255,1,0,7573.5,410.9200000000001,9.399999999999636,20180801173000,1
256,0,1,7560.1,422.3199999999997,11.399999999999636,20180801174500,1
257,0,1,7542.6,0.0,0.0,20180801180000,0
258,0,1,7540.0,0.0,0.0,20180801181500,0
268,0,1,7482.9,0.0,0.0,20180801204500,0
269,1,0,7489.1,349.3199999999997,-73.0,20180801210000,1
