index,sell,buy,open,profit,pos_prof,time,pos
6,1,0,8226.9,0.0,0.0,20180730031500,1
7,1,0,8214.5,0.0,0.0,20180730033000,0
9,0,1,8192.2,32.69999999999891,32.69999999999891,20180730040000,1
10,1,0,8190.1,28.599999999998545,-4.100000000000364,20180730041500,1
11,0,1,8165.1,51.599999999998545,23.0,20180730043000,1
19,1,0,8156.5,40.99999999999818,-10.600000000000364,20180730063000,1
21,0,1,8142.8,52.699999999998,11.699999999999818,20180730070000,1
22,0,1,8128.8,0.0,0.0,20180730071500,0
40,0,1,8134.4,0.0,0.0,20180730114500,0
44,0,1,8132.3,0.0,0.0,20180730124500,0
45,1,0,8144.8,52.699999999998,0.0,20180730130000,1
48,0,1,8119.9,75.59999999999854,22.900000000000546,20180730134500,1
49,1,0,8125.08,78.77999999999884,3.180000000000291,20180730140000,1
53,0,1,8181.36,20.49999999999909,-58.279999999999745,20180730150000,1
54,0,1,8180.0,0.0,0.0,20180730151500,0
55,0,1,8169.8,0.0,0.0,20180730153100,0
56,0,1,8150.1,0.0,0.0,20180730154500,0
57,0,1,8130.64,0.0,0.0,20180730160000,0
58,0,1,8102.5,0.0,0.0,20180730161500,0
59,0,1,8110.4,0.0,0.0,20180730163000,0
62,0,1,8100.3,0.0,0.0,20180730171500,0
63,0,1,8099.8,0.0,0.0,20180730173000,0
64,1,0,7989.6,-173.26000000000022,-193.7599999999993,20180730174500,1
65,0,1,7915.1,-100.76000000000022,72.5,20180730180000,1
66,0,1,7924.0,0.0,0.0,20180730181500,0
67,1,0,7933.6,-84.26000000000022,16.5,20180730183000,1
68,1,0,7955.0,0.0,0.0,20180730184500,0
69,1,0,7960.0,0.0,0.0,20180730190000,0
70,1,0,8002.4,0.0,0.0,20180730191500,0
71,0,1,8056.8,-209.46000000000004,-125.19999999999982,20180730193000,1
72,0,1,8098.1,0.0,0.0,20180730194500,0
73,1,0,8120.3,-147.96000000000004,61.5,20180730200000,1
74,0,1,8103.7,-133.35999999999967,14.600000000000364,20180730201500,1
75,1,0,8184.4,-54.659999999999854,78.69999999999982,20180730203000,1
76,0,1,8140.0,-12.260000000000218,42.399999999999636,20180730204500,1
77,1,0,8164.5,10.239999999999782,22.5,20180730210000,1
78,1,0,8135.1,0.0,0.0,20180730211500,0
79,0,1,8122.7,50.039999999999964,39.80000000000018,20180730213000,1
81,0,1,8135.1,0.0,0.0,20180730220000,0
82,1,0,8155.7,81.03999999999996,31.0,20180730221500,1
85,0,1,8167.1,67.63999999999942,-13.400000000000546,20180730230000,1
86,1,0,8171.1,69.63999999999942,2.0,20180730231500,1
87,1,0,8175.0,0.0,0.0,20180730233000,0
88,1,0,8174.2,0.0,0.0,20180730234500,0
91,0,1,8138.0,100.73999999999978,31.100000000000364,20180731003000,1
92,0,1,8139.0,0.0,0.0,20180731004500,0
93,0,1,8129.53,0.0,0.0,20180731010000,0
94,0,1,8121.1,0.0,0.0,20180731011500,0
97,0,1,8126.0,0.0,0.0,20180731020000,0
107,0,1,8093.6,0.0,0.0,20180731043000,0
108,1,0,8115.5,76.23999999999978,-24.5,20180731044500,1
116,0,1,8143.8,45.9399999999996,-30.300000000000182,20180731064500,1
124,1,0,8106.0,6.139999999999418,-39.80000000000018,20180731084500,1
125,0,1,8034.1,76.03999999999905,69.89999999999964,20180731090000,1
126,0,1,8041.0,0.0,0.0,20180731091500,0
127,0,1,8026.3,0.0,0.0,20180731093000,0
128,1,0,8055.4,95.33999999999833,19.299999999999272,20180731094500,1
129,0,1,8013.7,135.03999999999814,39.69999999999982,20180731100000,1
130,0,1,8010.0,0.0,0.0,20180731101500,0
131,0,1,7970.1,0.0,0.0,20180731103000,0
132,0,1,7981.7,0.0,0.0,20180731104500,0
133,0,1,7958.8,0.0,0.0,20180731110000,0
134,0,1,7959.5,0.0,0.0,20180731111500,0
136,1,0,7996.0,115.33999999999833,-19.699999999999818,20180731114500,1
138,0,1,7950.0,159.33999999999833,44.0,20180731121500,1
139,0,1,7875.2,0.0,0.0,20180731123000,0
140,0,1,7813.4,0.0,0.0,20180731124500,0
141,0,1,7805.05,0.0,0.0,20180731130000,0
142,1,0,7824.9,32.23999999999796,-127.10000000000036,20180731131500,1
143,0,1,7819.9,35.23999999999796,3.0,20180731133000,1
144,1,0,7826.5,39.83999999999833,4.600000000000364,20180731134500,1
145,0,1,7735.7,128.6399999999985,88.80000000000018,20180731140000,1
146,1,0,7783.1,174.03999999999905,45.400000000000546,20180731141500,1
147,0,1,7733.7,221.4399999999996,47.400000000000546,20180731143000,1
148,0,1,7729.1,0.0,0.0,20180731144500,0
149,0,1,7731.1,0.0,0.0,20180731150000,0
150,0,1,7695.51,0.0,0.0,20180731151500,0
151,0,1,7714.4,0.0,0.0,20180731153000,0
152,1,0,7739.4,225.13999999999942,3.699999999999818,20180731154500,1
153,1,0,7754.5,0.0,0.0,20180731160000,0
154,0,1,7744.75,217.78999999999905,-7.350000000000364,20180731161500,1
155,1,0,7760.2,231.23999999999887,13.449999999999818,20180731163000,1
156,1,0,7780.8,0.0,0.0,20180731164500,0
157,0,1,7795.3,194.1399999999985,-37.100000000000364,20180731170000,1
158,0,1,7755.1,0.0,0.0,20180731171500,0
159,0,1,7734.0,0.0,0.0,20180731173000,0
160,1,0,7744.1,140.9399999999987,-53.19999999999982,20180731174500,1
161,0,1,7730.0,153.03999999999905,12.100000000000364,20180731180000,1
162,0,1,7714.1,0.0,0.0,20180731181500,0
166,1,0,7762.7,183.73999999999887,30.699999999999818,20180731191500,1
167,0,1,7733.7,210.73999999999887,27.0,20180731193000,1
168,1,0,7740.2,215.23999999999887,4.5,20180731194500,1
169,1,0,7755.87,0.0,0.0,20180731200000,0
170,0,1,7724.0,229.4399999999987,14.199999999999818,20180731201500,1
171,0,1,7721.2,0.0,0.0,20180731203000,0
172,1,0,7725.0,228.4399999999987,-1.0,20180731204500,1
173,0,1,7698.65,252.78999999999905,24.350000000000364,20180731210000,1
174,0,1,7696.1,0.0,0.0,20180731211500,0
175,1,0,7720.0,272.1399999999994,19.350000000000364,20180731213000,1
176,1,0,7729.1,0.0,0.0,20180731214500,0
177,0,1,7716.5,273.6399999999994,1.5,20180731220000,1
179,1,0,7694.1,249.23999999999978,-24.399999999999636,20180731223000,1
180,1,0,7709.8,0.0,0.0,20180731224500,0
183,0,1,7670.0,271.34000000000015,22.100000000000364,20180731233000,1
184,0,1,7757.6,0.0,0.0,20180731234500,0
185,0,1,7737.9,0.0,0.0,20180801000000,0
186,0,1,7726.6,0.0,0.0,20180801001500,0
187,1,0,7744.3,343.6400000000003,72.30000000000018,20180801003000,1
188,1,0,7712.1,0.0,0.0,20180801004500,0
189,0,1,7675.9,410.0400000000009,66.40000000000055,20180801010000,1
190,0,1,7649.1,0.0,0.0,20180801011500,0
191,1,0,7665.3,397.4400000000014,-12.599999999999454,20180801013000,1
192,0,1,7611.5,449.2400000000016,51.80000000000018,20180801014500,1
193,0,1,7567.0,0.0,0.0,20180801020000,0
194,0,1,7540.0,0.0,0.0,20180801021500,0
195,0,1,7561.7,0.0,0.0,20180801023000,0
196,0,1,7541.7,0.0,0.0,20180801024500,0
197,0,1,7551.57,0.0,0.0,20180801030000,0
198,0,1,7532.0,0.0,0.0,20180801031500,0
199,0,1,7540.1,0.0,0.0,20180801033000,0
200,1,0,7554.0,389.7400000000016,-59.5,20180801034500,1
201,0,1,7550.2,391.5400000000018,1.800000000000182,20180801040000,1
202,0,1,7554.1,0.0,0.0,20180801041500,0
203,1,0,7562.9,402.2400000000016,10.699999999999818,20180801043000,1
206,1,0,7545.0,0.0,0.0,20180801051500,0
207,0,1,7522.0,441.14000000000124,38.899999999999636,20180801053000,1
208,0,1,7496.0,0.0,0.0,20180801054500,0
210,0,1,7532.0,0.0,0.0,20180801061500,0
211,1,0,7549.6,466.7400000000016,25.600000000000364,20180801063000,1
212,1,0,7575.5,0.0,0.0,20180801064500,0
213,1,0,7583.0,0.0,0.0,20180801070000,0
215,0,1,7561.9,452.4400000000023,-14.299999999999272,20180801073000,1
216,0,1,7541.2,0.0,0.0,20180801074500,0
217,0,1,7565.0,0.0,0.0,20180801080000,0
218,1,0,7584.3,472.8400000000029,20.400000000000546,20180801081500,1
219,0,1,7609.13,446.01000000000295,-26.829999999999927,20180801083000,1
220,1,0,7637.8,472.680000000003,26.670000000000073,20180801084500,1
221,1,0,7632.0,0.0,0.0,20180801090000,0
222,0,1,7618.1,490.38000000000284,17.699999999999818,20180801091500,1
223,0,1,7609.3,0.0,0.0,20180801093000,0
224,1,0,7627.27,497.5500000000029,7.170000000000073,20180801094500,1
225,0,1,7599.0,523.8200000000033,26.270000000000437,20180801100000,1
226,0,1,7553.5,0.0,0.0,20180801101500,0
227,1,0,7549.9,472.720000000003,-51.100000000000364,20180801103000,1
228,0,1,7564.98,455.64000000000306,-17.079999999999927,20180801104500,1
229,1,0,7572.03,460.69000000000324,5.050000000000182,20180801110000,1
230,0,1,7565.4,465.32000000000335,4.630000000000109,20180801111500,1
231,0,1,7541.2,0.0,0.0,20180801113000,0
235,0,1,7579.9,0.0,0.0,20180801123000,0
236,0,1,7572.1,0.0,0.0,20180801124500,0
237,1,0,7582.1,480.0200000000041,14.700000000000728,20180801130000,1
239,1,0,7614.9,0.0,0.0,20180801133000,0
240,0,1,7595.1,465.0200000000041,-15.0,20180801134500,1
241,1,0,7630.9,498.82000000000335,33.79999999999927,20180801140000,1
242,1,0,7621.0,0.0,0.0,20180801141500,0
