index,sell,buy,open,profit,pos_prof,time,pos
12,1,0,7386.2,0.0,0.0,20180531044500,1
13,1,0,7489.1,0.0,0.0,20180531050000,0
14,0,1,7476.7,-92.5,-92.5,20180531051500,1
15,1,0,7497.0,-74.19999999999982,18.300000000000182,20180531053000,1
16,0,1,7492.0,-71.19999999999982,3.0,20180531054500,1
17,1,0,7497.9,-67.30000000000018,3.899999999999636,20180531060000,1
18,1,0,7498.1,0.0,0.0,20180531061500,0
19,1,0,7599.0,0.0,0.0,20180531063000,0
20,0,1,7581.2,-152.60000000000036,-85.30000000000018,20180531064500,1
21,0,1,7572.98,0.0,0.0,20180531070000,0
22,0,1,7562.6,0.0,0.0,20180531071500,0
23,1,0,7566.4,-169.40000000000055,-16.800000000000182,20180531073000,1
24,1,0,7579.9,0.0,0.0,20180531074500,0
27,1,0,7530.5,0.0,0.0,20180531083000,0
28,0,1,7531.3,-136.3000000000011,33.099999999999454,20180531084500,1
30,0,1,7534.6,0.0,0.0,20180531091500,0
35,1,0,7540.5,-129.10000000000127,7.199999999999818,20180531103000,1
36,0,1,7522.4,-113.00000000000091,16.100000000000364,20180531104500,1
43,1,0,7568.0,-69.40000000000055,43.600000000000364,20180531123000,1
46,0,1,7505.0,-8.400000000000546,61.0,20180531131500,1
47,1,0,7525.1,9.699999999999818,18.100000000000364,20180531133000,1
50,0,1,7534.3,-1.5,-11.199999999999818,20180531141500,1
51,1,0,7547.3,9.5,11.0,20180531143000,1
54,1,0,7570.1,0.0,0.0,20180531151500,0
55,1,0,7551.0,0.0,0.0,20180531153000,0
57,1,0,7557.3,0.0,0.0,20180531160000,0
59,0,1,7542.7,12.100000000000364,2.600000000000364,20180531163000,1
65,1,0,7580.7,48.100000000000364,36.0,20180531180000,1
73,0,1,7538.0,88.80000000000018,40.69999999999982,20180531200000,1
82,1,0,7441.2,-10.0,-98.80000000000018,20180531221500,1
83,1,0,7447.1,0.0,0.0,20180531223000,0
84,0,1,7440.0,-10.800000000000182,-0.8000000000001819,20180531224500,1
85,0,1,7439.9,0.0,0.0,20180531230000,0
86,0,1,7474.1,0.0,0.0,20180531231500,0
87,0,1,7472.3,0.0,0.0,20180531233000,0
88,0,1,7466.4,0.0,0.0,20180531234500,0
89,0,1,7485.9,0.0,0.0,20180601000000,0
90,1,0,7499.9,47.099999999999454,57.899999999999636,20180601001500,1
91,1,0,7508.6,0.0,0.0,20180601003000,0
98,1,0,7514.7,0.0,0.0,20180601021500,0
100,0,1,7492.0,52.99999999999909,5.899999999999636,20180601024500,1
102,1,0,7483.2,42.19999999999891,-10.800000000000182,20180601031500,1
103,0,1,7481.7,41.69999999999891,-0.5,20180601033000,1
115,1,0,7534.6,92.59999999999945,50.900000000000546,20180601063000,1
116,1,0,7541.7,0.0,0.0,20180601064500,0
117,1,0,7540.0,0.0,0.0,20180601070000,0
118,1,0,7580.1,0.0,0.0,20180601071500,0
119,1,0,7595.9,0.0,0.0,20180601073000,0
120,1,0,7592.1,0.0,0.0,20180601074500,0
121,0,1,7577.0,48.19999999999982,-44.399999999999636,20180601080000,1
122,0,1,7566.5,0.0,0.0,20180601081500,0
124,0,1,7574.9,0.0,0.0,20180601084500,0
125,0,1,7596.5,0.0,0.0,20180601090000,0
127,0,1,7550.3,0.0,0.0,20180601093000,0
128,0,1,7537.7,0.0,0.0,20180601094500,0
129,0,1,7528.7,0.0,0.0,20180601100000,0
131,0,1,7541.6,0.0,0.0,20180601103000,0
132,0,1,7537.7,0.0,0.0,20180601104500,0
134,0,1,7553.1,0.0,0.0,20180601111500,0
137,0,1,7345.8,0.0,0.0,20180601120000,0
138,1,0,7394.5,-136.30000000000018,-184.5,20180601121500,1
139,0,1,7388.5,-132.30000000000018,4.0,20180601123000,1
140,0,1,7396.0,0.0,0.0,20180601124500,0
141,1,0,7407.0,-115.80000000000018,16.5,20180601130000,1
142,0,1,7400.0,-110.80000000000018,5.0,20180601131500,1
143,0,1,7418.8,0.0,0.0,20180601133000,0
144,0,1,7418.3,0.0,0.0,20180601134500,0
145,1,0,7417.9,-94.90000000000055,15.899999999999636,20180601140000,1
147,1,0,7412.9,0.0,0.0,20180601143000,0
148,1,0,7432.87,0.0,0.0,20180601144500,0
152,1,0,7435.1,0.0,0.0,20180601154500,0
165,0,1,7400.4,-79.40000000000055,15.5,20180601190000,1
168,0,1,7441.6,0.0,0.0,20180601194500,0
169,1,0,7439.7,-42.100000000000364,37.30000000000018,20180601200000,1
170,1,0,7436.7,0.0,0.0,20180601201500,0
179,1,0,7517.4,0.0,0.0,20180601223000,0
180,0,1,7508.6,-113.00000000000091,-70.90000000000055,20180601224500,1
181,1,0,7510.5,-113.10000000000127,-0.1000000000003638,20180601230000,1
182,1,0,7510.8,0.0,0.0,20180601231500,0
183,1,0,7531.2,0.0,0.0,20180601233000,0
184,0,1,7522.7,-127.30000000000109,-14.199999999999818,20180601234500,1
189,0,1,7470.5,0.0,0.0,20180602010000,0
190,1,0,7493.6,-158.40000000000055,-31.099999999999454,20180602011500,1
191,0,1,7488.8,-155.60000000000036,2.800000000000182,20180602013000,1
194,0,1,7490.5,0.0,0.0,20180602021500,0
207,1,0,7515.0,-131.40000000000055,24.199999999999818,20180602053000,1
208,1,0,7521.0,0.0,0.0,20180602054500,0
209,1,0,7527.4,0.0,0.0,20180602060000,0
210,0,1,7484.3,-102.70000000000073,28.699999999999818,20180602061500,1
211,1,0,7491.0,-98.00000000000091,4.699999999999818,20180602063000,1
212,0,1,7496.93,-105.9300000000012,-7.930000000000291,20180602064500,1
213,0,1,7655.4,0.0,0.0,20180602070000,0
214,0,1,7660.0,0.0,0.0,20180602071500,0
215,0,1,7652.79,0.0,0.0,20180602073000,0
216,1,0,7658.9,54.039999999998145,159.96999999999935,20180602074500,1
217,1,0,7647.07,0.0,0.0,20180602080000,0
218,0,1,7662.6,48.33999999999742,-5.700000000000728,20180602081500,1
219,1,0,7677.1,60.83999999999742,12.5,20180602083000,1
220,0,1,7660.0,75.93999999999778,15.100000000000364,20180602084500,1
221,0,1,7653.4,0.0,0.0,20180602090000,0
222,0,1,7632.9,0.0,0.0,20180602091500,0
232,0,1,7630.5,0.0,0.0,20180602114500,0
247,0,1,7635.0,0.0,0.0,20180602153000,0
248,0,1,7626.8,0.0,0.0,20180602154500,0
249,1,0,7621.8,35.73999999999796,-40.19999999999982,20180602160000,1
250,0,1,7599.5,56.039999999998145,20.300000000000182,20180602161500,1
255,0,1,7629.0,0.0,0.0,20180602173000,0
258,1,0,7641.7,96.23999999999796,40.19999999999982,20180602181500,1
263,1,0,7660.3,0.0,0.0,20180602193000,0
264,1,0,7680.4,0.0,0.0,20180602194500,0
269,0,1,7620.1,115.83999999999742,19.599999999999454,20180602210000,1
272,0,1,7635.3,0.0,0.0,20180602214500,0
273,0,1,7632.0,0.0,0.0,20180602220000,0
274,0,1,7628.1,0.0,0.0,20180602221500,0
295,0,1,7639.2,0.0,0.0,20180603033000,0
296,0,1,7625.0,0.0,0.0,20180603034500,0
301,1,0,7645.4,139.1399999999967,23.299999999999272,20180603050000,1
308,1,0,7740.0,0.0,0.0,20180603064500,0
309,0,1,7723.1,59.43999999999596,-79.70000000000073,20180603070000,1
310,1,0,7720.0,54.3399999999956,-5.100000000000364,20180603071500,1
311,1,0,7724.5,0.0,0.0,20180603073000,0
312,1,0,7725.0,0.0,0.0,20180603074500,0
313,0,1,7716.5,55.8399999999956,1.5,20180603080000,1
316,1,0,7752.6,89.93999999999596,34.100000000000364,20180603084500,1
325,0,1,7699.7,140.8399999999965,50.900000000000546,20180603110000,1
326,1,0,7711.0,150.1399999999967,9.300000000000182,20180603111500,1
330,0,1,7700.5,158.6399999999967,8.5,20180603121500,1
336,1,0,7739.9,196.03999999999633,37.399999999999636,20180603134500,1
339,1,0,7698.28,0.0,0.0,20180603143000,0
340,0,1,7699.8,234.13999999999578,38.099999999999454,20180603144500,1
348,1,0,7709.1,241.43999999999596,7.300000000000182,20180603164500,1
354,0,1,7690.3,258.23999999999614,16.800000000000182,20180603181500,1
361,1,0,7710.0,275.93999999999596,17.699999999999818,20180603200000,1
364,1,0,7707.9,0.0,0.0,20180603204500,0
365,1,0,7724.1,0.0,0.0,20180603210000,0
366,1,0,7719.7,0.0,0.0,20180603211500,0
376,1,0,7702.1,0.0,0.0,20180603234500,0
384,0,1,7694.3,289.6399999999958,13.699999999999818,20180604014500,1
401,0,1,7663.7,0.0,0.0,20180604060000,0
402,0,1,7654.0,0.0,0.0,20180604061500,0
403,0,1,7649.7,0.0,0.0,20180604063000,0
404,0,1,7604.49,0.0,0.0,20180604064500,0
405,0,1,7576.3,0.0,0.0,20180604070000,0
406,0,1,7595.9,0.0,0.0,20180604071500,0
407,0,1,7612.4,0.0,0.0,20180604073000,0
408,0,1,7618.6,0.0,0.0,20180604074500,0
409,0,1,7607.9,0.0,0.0,20180604080000,0
410,0,1,7586.1,0.0,0.0,20180604081500,0
411,1,0,7597.8,191.13999999999578,-98.5,20180604083000,1
419,0,1,7611.4,175.53999999999633,-15.599999999999454,20180604103000,1
420,1,0,7616.3,178.43999999999687,2.9000000000005457,20180604104500,1
422,0,1,7545.9,246.83999999999742,68.40000000000055,20180604111500,1
423,0,1,7540.5,0.0,0.0,20180604113000,0
424,0,1,7527.2,0.0,0.0,20180604114500,0
425,0,1,7514.1,0.0,0.0,20180604120000,0
426,0,1,7532.0,0.0,0.0,20180604121500,0
427,0,1,7523.8,0.0,0.0,20180604123000,0
428,0,1,7531.9,0.0,0.0,20180604124500,0
429,0,1,7531.1,0.0,0.0,20180604130000,0
430,0,1,7519.1,0.0,0.0,20180604131500,0
434,0,1,7465.2,0.0,0.0,20180604141500,0
435,1,0,7484.5,183.43999999999778,-63.399999999999636,20180604143000,1
436,0,1,7491.03,174.90999999999804,-8.529999999999745,20180604144500,1
437,0,1,7484.3,0.0,0.0,20180604150000,0
446,0,1,7473.7,0.0,0.0,20180604171500,0
447,0,1,7458.5,0.0,0.0,20180604173000,0
455,1,0,7502.6,184.47999999999865,9.570000000000618,20180604193000,1
463,1,0,7528.2,0.0,0.0,20180604213000,0
470,0,1,7484.7,200.3799999999992,15.900000000000546,20180604231500,1
471,0,1,7485.0,0.0,0.0,20180604233000,0
472,0,1,7487.5,0.0,0.0,20180604234500,0
473,0,1,7488.4,0.0,0.0,20180605000000,0
482,0,1,7466.1,0.0,0.0,20180605021500,0
483,0,1,7422.4,0.0,0.0,20180605023000,0
484,0,1,7421.8,0.0,0.0,20180605024500,0
485,0,1,7407.3,0.0,0.0,20180605030000,0
486,0,1,7419.2,0.0,0.0,20180605031500,0
487,0,1,7419.3,0.0,0.0,20180605033000,0
488,0,1,7407.32,0.0,0.0,20180605034500,0
489,0,1,7412.1,0.0,0.0,20180605040000,0
491,0,1,7405.1,0.0,0.0,20180605043000,0
493,0,1,7382.7,0.0,0.0,20180605050000,0
494,1,0,7401.3,114.97999999999956,-85.39999999999964,20180605051500,1
498,1,0,7441.4,0.0,0.0,20180605061500,0
502,0,1,7411.9,102.38000000000011,-12.599999999999454,20180605071500,1
503,0,1,7410.0,0.0,0.0,20180605073000,0
504,0,1,7398.0,0.0,0.0,20180605074500,0
509,1,0,7454.6,143.08000000000084,40.70000000000073,20180605090000,1
528,1,0,7448.8,0.0,0.0,20180605151500,0
529,1,0,7466.0,0.0,0.0,20180605153000,0
530,0,1,7455.0,140.6800000000012,-2.399999999999636,20180605154500,1
531,1,0,7582.6,266.28000000000156,125.60000000000036,20180605160000,1
532,1,0,7564.0,0.0,0.0,20180605161500,0
533,0,1,7544.8,302.08000000000175,35.80000000000018,20180605163000,1
534,1,0,7559.5,314.78000000000156,12.699999999999818,20180605164500,1
535,1,0,7565.9,0.0,0.0,20180605170000,0
536,1,0,7572.2,0.0,0.0,20180605171500,0
537,1,0,7591.5,0.0,0.0,20180605173000,0
538,1,0,7635.34,0.0,0.0,20180605174500,0
539,0,1,7617.1,255.1800000000012,-59.600000000000364,20180605180000,1
540,1,0,7626.9,262.9800000000005,7.799999999999272,20180605181500,1
541,1,0,7626.0,0.0,0.0,20180605183000,0
542,1,0,7642.73,0.0,0.0,20180605184500,0
543,0,1,7620.3,267.5799999999999,4.599999999999454,20180605190000,1
553,0,1,7592.5,0.0,0.0,20180605213000,0
554,1,0,7606.3,251.57999999999993,-16.0,20180605214500,1
555,0,1,7596.2,259.6800000000003,8.100000000000364,20180605220000,1
556,0,1,7603.0,0.0,0.0,20180605221500,0
557,0,1,7604.8,0.0,0.0,20180605223000,0
589,1,0,7643.15,304.6300000000001,44.94999999999982,20180606063000,1
590,1,0,7626.09,0.0,0.0,20180606064500,0
592,1,0,7634.03,0.0,0.0,20180606071500,0
594,0,1,7616.3,329.47999999999956,24.849999999999454,20180606074500,1
596,0,1,7608.7,0.0,0.0,20180606081500,0
598,0,1,7606.5,0.0,0.0,20180606084500,0
600,0,1,7597.5,0.0,0.0,20180606091500,0
601,1,0,7607.0,318.1799999999994,-11.300000000000182,20180606093000,1
609,1,0,7624.0,0.0,0.0,20180606113000,0
615,1,0,7657.4,0.0,0.0,20180606130000,0
618,1,0,7639.0,0.0,0.0,20180606134500,0
626,1,0,7661.1,0.0,0.0,20180606154500,0
629,0,1,7563.0,360.1799999999994,42.0,20180606163000,1
630,1,0,7535.6,330.77999999999975,-29.399999999999636,20180606164500,1
631,0,1,7520.8,343.5799999999999,12.800000000000182,20180606170000,1
632,0,1,7527.9,0.0,0.0,20180606171500,0
633,0,1,7513.7,0.0,0.0,20180606173000,0
634,1,0,7519.6,340.3800000000001,-3.199999999999818,20180606174500,1
635,0,1,7525.0,332.9800000000005,-7.399999999999636,20180606180000,1
636,0,1,7507.4,0.0,0.0,20180606181500,0
637,0,1,7498.1,0.0,0.0,20180606183000,0
638,0,1,7507.9,0.0,0.0,20180606184500,0
647,1,0,7614.9,420.8800000000001,87.89999999999964,20180606210000,1
648,0,1,7628.0,405.77999999999975,-15.100000000000364,20180606211500,1
649,1,0,7684.4,460.1799999999994,54.399999999999636,20180606213000,1
650,0,1,7653.6,488.97999999999865,28.799999999999272,20180606214500,1
652,1,0,7677.5,510.8799999999983,21.899999999999636,20180606221500,1
655,1,0,7658.5,0.0,0.0,20180606230000,0
661,1,0,7672.0,0.0,0.0,20180607003000,0
662,1,0,7682.8,0.0,0.0,20180607004500,0
663,1,0,7729.99,0.0,0.0,20180607010000,0
664,1,0,7745.1,0.0,0.0,20180607011500,0
665,1,0,7737.1,0.0,0.0,20180607013000,0
666,1,0,7732.3,0.0,0.0,20180607014500,0
669,0,1,7725.4,460.97999999999865,-49.899999999999636,20180607023000,1
671,1,0,7712.4,445.97999999999865,-15.0,20180607030000,1
674,0,1,7709.91,446.46999999999844,0.4899999999997817,20180607034500,1
676,1,0,7713.8,448.35999999999876,1.8900000000003274,20180607041700,1
717,0,1,7680.5,479.65999999999894,31.300000000000182,20180607143000,1
720,0,1,7682.9,0.0,0.0,20180607151500,0
721,0,1,7666.3,0.0,0.0,20180607153000,0
722,1,0,7681.1,478.2599999999993,-1.3999999999996362,20180607154500,1
726,1,0,7697.6,0.0,0.0,20180607164500,0
727,1,0,7720.3,0.0,0.0,20180607170000,0
728,0,1,7665.2,492.15999999999985,13.900000000000546,20180607171500,1
730,0,1,7694.2,0.0,0.0,20180607174500,0
731,0,1,7694.29,0.0,0.0,20180607180000,0
732,1,0,7690.6,515.5600000000004,23.400000000000546,20180607181500,1
733,1,0,7710.6,0.0,0.0,20180607183000,0
741,0,1,7667.5,536.6600000000008,21.100000000000364,20180607203000,1
743,0,1,7664.0,0.0,0.0,20180607210000,0
744,0,1,7655.5,0.0,0.0,20180607211500,0
745,0,1,7661.1,0.0,0.0,20180607213000,0
755,1,0,7689.0,556.1600000000008,19.5,20180608000000,1
757,1,0,7694.1,0.0,0.0,20180608003000,0
768,0,1,7643.1,600.0600000000004,43.899999999999636,20180608031500,1
769,0,1,7646.4,0.0,0.0,20180608033000,0
771,0,1,7635.7,0.0,0.0,20180608040000,0
772,0,1,7632.0,0.0,0.0,20180608041500,0
774,0,1,7618.4,0.0,0.0,20180608044500,0
788,0,1,7613.22,0.0,0.0,20180608081500,0
789,0,1,7615.0,0.0,0.0,20180608083000,0
797,0,1,7582.0,0.0,0.0,20180608103000,0
798,0,1,7573.8,0.0,0.0,20180608104500,0
799,0,1,7570.39,0.0,0.0,20180608110000,0
800,0,1,7553.1,0.0,0.0,20180608111500,0
801,0,1,7557.6,0.0,0.0,20180608113000,0
802,0,1,7566.8,0.0,0.0,20180608114500,0
803,0,1,7563.3,0.0,0.0,20180608120000,0
805,1,0,7550.2,505.15999999999985,-94.90000000000055,20180608123000,1
806,0,1,7552.0,501.3599999999997,-3.800000000000182,20180608124500,1
819,1,0,7636.4,583.7599999999993,82.39999999999964,20180608160000,1
820,0,1,7634.1,584.0599999999986,0.2999999999992724,20180608161500,1
