Ticker, Timeframe, File Name (train), Profit/Loss, Trades Num., Good, Bad, Profit Factor, Profit Factor(%), Sharpe, Reward/Risk, Lost Profit, File Name (test), Profit/Loss, Trades Num., Good, Bad, Profit Factor, Profit Factor(%), Sharpe, Reward/Risk, Lost Profit
btcusd, 15, tr_decis_n_23_e_418.csv, 527.300000, 398, 287, 111, 1.035776, 1.029510, -1.019570, 0.030487, 9758.850000, val_decis_n_23_e_418.csv, 13.600000, 1, 1, 0, 100.000000, 100.000000, nan, 0.489209, 58.700000
btcusd, 15, tr_decis_n_6_e_410.csv, 2975.750000, 458, 344, 114, 1.183028, 1.178696, 0.978691, 0.155496, 10635.330000, val_decis_n_6_e_410.csv, 28.900000, 1, 1, 0, 100.000000, 100.000000, nan, 10000000000.000000, 1.200000
btcusd, 15, tr_decis_n_14_e_429.csv, 5412.020000, 497, 372, 125, 1.340570, 1.329747, 1.527080, 0.269333, 12103.160000, val_decis_n_14_e_429.csv, -934.400000, 25, 17, 8, 0.436253, 0.468827, -0.924012, -0.425029, 958.350000
btcusd, 15, tr_decis_n_15_e_237.csv, 763.330000, 515, 374, 141, 1.043347, 1.032596, 0.017726, 0.034517, 12677.010000, val_decis_n_15_e_237.csv, -701.800000, 12, 9, 3, 0.318111, 0.357743, -0.516646, -0.580038, 192.400000
btcusd, 15, tr_decis_n_20_e_445.csv, 4861.670000, 626, 469, 157, 1.264244, 1.246215, 0.952190, 0.209473, 13670.510000, val_decis_n_20_e_445.csv, 2.700000, 3, 2, 1, 1.072000, 1.068934, 1.000000, 0.020517, 88.300000
btcusd, 15, tr_decis_n_16_e_268.csv, 3267.480000, 582, 436, 146, 1.181989, 1.166975, 1.232618, 0.149435, 13207.480000, val_decis_n_16_e_268.csv, 650.620000, 61, 48, 13, 1.343362, 1.419895, 0.045519, 0.283296, 1418.440000
btcusd, 15, tr_decis_n_24_e_361.csv, 2876.720000, 445, 324, 121, 1.184692, 1.160359, 0.964415, 0.143505, 10883.990000, val_decis_n_24_e_361.csv, 793.000000, 10, 7, 3, 2.919167, 2.647804, 0.516642, 2.046452, 889.850000
btcusd, 15, tr_decis_n_16_e_425.csv, 1558.920000, 531, 397, 134, 1.088390, 1.070669, -0.026904, 0.070556, 12470.270000, val_decis_n_16_e_425.csv, 96.740000, 30, 23, 7, 1.065982, 1.152468, -1.032645, 0.089213, 1001.720000
btcusd, 15, tr_decis_n_29_e_321.csv, 1450.100000, 539, 393, 146, 1.083290, 1.077160, 2.098804, 0.067985, 12487.820000, val_decis_n_29_e_321.csv, -281.300000, 10, 7, 3, 0.380260, 0.379341, 0.127805, -1.068769, 213.040000
btcusd, 15, tr_decis_n_16_e_250.csv, 3520.660000, 519, 388, 131, 1.212036, 1.191898, 0.907541, 0.164274, 12293.960000, val_decis_n_16_e_250.csv, -934.160000, 11, 7, 4, 0.260645, 0.291737, -0.315479, -1.210177, 251.300000
btcusd, 15, tr_decis_n_0_e_369.csv, 1258.410000, 564, 403, 161, 1.065386, 1.056367, 0.236202, 0.056388, 13062.460000, val_decis_n_0_e_369.csv, -695.100000, 21, 14, 7, 0.485283, 0.505073, -0.657720, -0.879439, 949.670000
btcusd, 15, tr_decis_n_15_e_249.csv, 1637.450000, 505, 365, 140, 1.097536, 1.084762, 0.554618, 0.077045, 11956.700000, val_decis_n_15_e_249.csv, 638.780000, 91, 67, 24, 1.222107, 1.295261, -0.391932, 0.179621, 1835.190000
btcusd, 15, tr_decis_n_13_e_462.csv, 2980.600000, 498, 374, 124, 1.182165, 1.168118, 0.275617, 0.142545, 11171.440000, val_decis_n_13_e_462.csv, -279.400000, 5, 3, 2, 0.159699, 0.160092, 0.246013, -1.562640, 123.200000
btcusd, 15, tr_decis_n_19_e_439.csv, 957.060000, 577, 398, 179, 1.049826, 1.042446, 0.413021, 0.042919, 13292.540000
